Volatility,3,Framework,2.26.2
Type,Callback,Module,Symbol	Detail
PspLoadImageNotifyRoutine,0x82a846e8,ntoskrnl,EtwpTraceLoadImage	N/A
PspCreateProcessNotifyRoutine,0x828b313b,ntoskrnl,ViCreateProcessCallback	N/A
PspCreateProcessNotifyRoutine,0x8956c9d8,ksecdd,-	N/A
PspCreateProcessNotifyRoutine,0x89577d96,cng,-	N/A
PspCreateProcessNotifyRoutine,0x8988b6d3,tcpip,-	N/A
PspCreateProcessNotifyRoutine,0x890f1dfc,CI,-	N/A
PspCreateProcessNotifyRoutine,0x93d721d9,peauth,-	N/A
KeBugCheckCallbackListHead,0x8961e660,ndis,-	-
KeBugCheckCallbackListHead,0x8961e660,ndis,-	-
KeBugCheckCallbackListHead,0x8961e660,ndis,-	-
KeBugCheckCallbackListHead,0x82c2f996,hal,-	-
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	PEAUTH
KeBugCheckReasonCallbackListHead,0x8f74650e,mouhid,-	mouhid
KeBugCheckReasonCallbackListHead,0x8f72fabc,HIDCLASS,-	HidUsb
KeBugCheckReasonCallbackListHead,0x8f71f85e,hidusb,-	HidUsb
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	monitor
KeBugCheckReasonCallbackListHead,0x8f6d51be,crashdmp,-	CRASHDUMP
KeBugCheckReasonCallbackListHead,0x8f5cd9da,usbhub,-	USBHUB
KeBugCheckReasonCallbackListHead,0x8f5cd985,usbhub,-	USBHUB
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	umbus
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	CompositeBus
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	intelppm
KeBugCheckReasonCallbackListHead,0x8f46ae3f,USBPORT,-	USBPORT
KeBugCheckReasonCallbackListHead,0x8f46aef6,USBPORT,-	USBPORT
KeBugCheckReasonCallbackListHead,0x8f46ae9c,USBPORT,-	USBPORT
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	HDAudBus
KeBugCheckReasonCallbackListHead,0x893dd5f5,mouclass,-	mouclass
KeBugCheckReasonCallbackListHead,0x897f3861,kbdclass,-	kbdclass
KeBugCheckReasonCallbackListHead,0x893ca8d5,i8042prt,-	i8042prt
KeBugCheckReasonCallbackListHead,0x89794eec,mssmbios,-	SMBiosData
KeBugCheckReasonCallbackListHead,0x89794ea4,mssmbios,-	SMBiosRegistry
KeBugCheckReasonCallbackListHead,0x89794e54,mssmbios,-	SMBiosRegisters
KeBugCheckReasonCallbackListHead,0x89794e0c,mssmbios,-	SMBiosDataACPI
KeBugCheckReasonCallbackListHead,0x89ae9392,VIDEOPRT,-	Videoprt
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	cdrom
KeBugCheckReasonCallbackListHead,0x89ab6889,cdrom,-	cdrom
KeBugCheckReasonCallbackListHead,0x89a654ff,CLASSPNP,-	CLASSPNP
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	vdrvroot
KeBugCheckReasonCallbackListHead,0x891e372d,Wdf01000,-	msisadrv
KeBugCheckReasonCallbackListHead,0x891e322a,Wdf01000,-	Wdf01000
KeBugCheckReasonCallbackListHead,0x8933b2a6,ataport,-	IDEP
GenericKernelCallback,0xf8c064e8,-,-	N/A
GenericKernelCallback,0x828b313b,ntoskrnl,ViCreateProcessCallback	N/A
EventCategoryDeviceInterfaceChange,0x9347d35c,win32k,-	Win32k
GenericKernelCallback,0x93d721d9,peauth,-	N/A
EventCategoryTargetDeviceChange,0x935da75e,win32k,-	Win32k
EventCategoryTargetDeviceChange,0x9355649e,win32k,-	Win32k
EventCategoryTargetDeviceChange,0x935da75e,win32k,-	Win32k
EventCategoryDeviceInterfaceChange,0x9347d35c,win32k,-	Win32k
EventCategoryDeviceInterfaceChange,0x9346fee7,win32k,-	Win32k
EventCategoryDeviceInterfaceChange,0x9347d35c,win32k,-	Win32k
EventCategoryTargetDeviceChange,0x935da75e,win32k,-	Win32k
EventCategoryHardwareProfileChange,0x893d30ac,i8042prt,-	i8042prt
EventCategoryDeviceInterfaceChange,0x8f4c1958,CompositeBus,-	CompositeBus
EventCategoryDeviceInterfaceChange,0x8f4c1958,CompositeBus,-	CompositeBus
GenericKernelCallback,0x890f1dfc,CI,-	N/A
EventCategoryHardwareProfileChange,0x8f422970,HDAudBus,-	HDAudBus
EventCategoryTargetDeviceChange,0x89989bde,volsnap,-	volsnap
EventCategoryTargetDeviceChange,0x89989bde,volsnap,-	volsnap
EventCategoryDeviceInterfaceChange,0x892a3f77,partmgr,-	partmgr
EventCategoryDeviceInterfaceChange,0x829a18f6,ntoskrnl,PopNotifyPolicyDevice	PnpManager
EventCategoryDeviceInterfaceChange,0x892c7448,volmgr,-	volmgr
EventCategoryTargetDeviceChange,0x8932a22e,mountmgr,-	mountmgr
EventCategoryTargetDeviceChange,0x8932a22e,mountmgr,-	mountmgr
GenericKernelCallback,0x935df91a,win32k,-	N/A
IoRegisterFsRegistrationChange,0x2b715956,-,-	N/A
EventCategoryTargetDeviceChange,0x82905ed8,ntoskrnl,PopSystemButtonNotifyHandler	mouclass
EventCategoryTargetDeviceChange,0x935da75e,win32k,-	Win32k
GenericKernelCallback,0x8956c9d8,ksecdd,-	N/A
GenericKernelCallback,0x89577d96,cng,-	N/A
IoRegisterFsRegistrationChange,0x89396bda,fltmgr,-	N/A
GenericKernelCallback,0x8988b6d3,tcpip,-	N/A
EventCategoryTargetDeviceChange,0x935da75e,win32k,-	Win32k
EventCategoryTargetDeviceChange,0x82905ed8,ntoskrnl,PopSystemButtonNotifyHandler	ACPI
IoRegisterFsRegistrationChange,0x2b715956,-,-	N/A
EventCategoryDeviceInterfaceChange,0x8932b214,mountmgr,-	mountmgr
EventCategoryDeviceInterfaceChange,0x892c7448,volmgr,-	volmgr
EventCategoryDeviceInterfaceChange,0x892ad664,compbatt,-	Compbatt
EventCategoryTargetDeviceChange,0x8932a22e,mountmgr,-	mountmgr
EventCategoryDeviceInterfaceChange,0x829a18f6,ntoskrnl,PopNotifyPolicyDevice	PnpManager
GenericKernelCallback,0x82a846e8,ntoskrnl,EtwpTraceLoadImage	N/A
EventCategoryDeviceInterfaceChange,0x829a18f6,ntoskrnl,PopNotifyPolicyDevice	PnpManager
EventCategoryDeviceInterfaceChange,0x829a18f6,ntoskrnl,PopNotifyPolicyDevice	PnpManager
EventCategoryDeviceInterfaceChange,0x829a18f6,ntoskrnl,PopNotifyPolicyDevice	PnpManager
EventCategoryDeviceInterfaceChange,0x899b4f94,volsnap,-	volsnap
IoRegisterShutdownNotification,0x8f5cd933,usbhub,-	\Driver\usbhub
IoRegisterShutdownNotification,0x8f5cd933,usbhub,-	\Driver\usbhub
IoRegisterShutdownNotification,0x89aee107,VIDEOPRT,-	\Driver\VgaSave
IoRegisterShutdownNotification,0x89aee107,VIDEOPRT,-	\Driver\vga
IoRegisterShutdownNotification,0x89aee107,VIDEOPRT,-	\Driver\RDPCDD
IoRegisterShutdownNotification,0x89aee107,VIDEOPRT,-	\Driver\RDPREFMP
IoRegisterShutdownNotification,0x89aee107,VIDEOPRT,-	\Driver\RDPENCDD
IoRegisterShutdownNotification,0x8956ca14,ksecdd,-	\Driver\KSecDD
IoRegisterShutdownNotification,0x82af34b5,ntoskrnl,RawShutdown	\FileSystem\RAW
IoRegisterShutdownNotification,0x828cb024,ntoskrnl,IopInvalidDeviceRequest	\Driver\WMIxWDM
IoRegisterShutdownNotification,0x89323172,mountmgr,-	\Driver\mountmgr
IoRegisterShutdownNotification,0x892c1318,volmgr,-	\Driver\volmgr
